序号,公司,产品名称,产品/计划代码,上线/生效日期或版本,条款关键词命中,条款PDF,筛选备注
1,AIA友邦,友邦永裕人生年金保险（分红型）,B3184-1,,分红型；年金保险；终身/至105,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3184-1%E5%8F%8B%E9%82%A6%E6%B0%B8%E8%A3%95%E4%BA%BA%E7%94%9F%E5%B9%B4%E9%87%91%E4%BF%9D%E9%99%A9%EF%BC%88%E5%88%86%E7%BA%A2%E5%9E%8B%EF%BC%89%E7%9A%84%E6%9D%A1%E6%AC%BE.pdf,友邦在售主险，年金分红形态；作为友邦最新序列候选之一纳入。
2,AIA友邦,友邦鑫友相伴青春版2.0年金保险（分红型）,B3163-1,,分红型；年金保险；终身/至105；增额红利；月领,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3163-1%E5%8F%8B%E9%82%A6%E9%91%AB%E5%8F%8B%E7%9B%B8%E4%BC%B4%E9%9D%92%E6%98%A5%E7%89%882.0%E5%B9%B4%E9%87%91%E4%BF%9D%E9%99%A9%EF%BC%88%E5%88%86%E7%BA%A2%E5%9E%8B%EF%BC%89%E7%9A%84%E6%9D%A1%E6%AC%BE.pdf,友邦在售主险，青春版2.0，适合教育/长期现金流同类对比。
3,AIA友邦,友邦传世臻享年金保险（分红型）,B3155-1,2025-12-30,分红型；年金保险；增额红利,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3155-1_Par%20BT%20Revamp(20251230)_IAC9100031119_con.pdf,友邦传世系列年金分红产品，具备财富规划/传承属性。
4,AIA友邦,友邦传世颐年养老年金保险（分红型）,B3145-1,2025-11-10,分红型；年金保险；终身/至105；增额红利；月领,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3145-1_Par%20WL%20Annuity%20Basic(20251110)_IAC9100029956_con.pdf,友邦养老年金分红产品，与目标的长期养老规划用途接近。
5,Cigna信诺,招商信诺及时福养老年金保险（分红型）,,2026-05-01,分红型；年金保险；终身/至105；月领,https://www.cignacmb.com/sc/doc/tiaokuan/jishifuyanglaonianjinbaoxianfenhongxing.pdf,信诺最新在售养老年金分红条款，条款日期最新。
6,Cigna信诺,招商信诺岁岁盈定期年金保险（分红型）,,2026-03-10,分红型；年金保险；月领,https://www.cignacmb.com/sc/doc/tiaokuan/suisuiyingdingqinianjinbaoxianfenhongxing.pdf,信诺定期年金分红产品，用于对比非终身领取设计。
7,Cigna信诺,招商信诺玺悦一号年金保险（分红型）,,2026-01-01,分红型；年金保险；终身/至105；月领,https://www.cignacmb.com/sc/doc/tiaokuan/xiyueyihaonianjinbaoxianfenhongxing.pdf,信诺年金分红产品，条款存在2026版本。
8,Cigna信诺,招商信诺信享盈家养老年金保险（分红型）,,2025-12-30,分红型；年金保险；终身/至105；交清增额；月领,https://www.cignacmb.com/sc/doc/tiaokuan/xinxiangyingjiayanglaonianjinbaoxianfenhongxing.pdf,信诺养老年金分红产品，长期养老场景相似度高。
9,PingAn平安,平安盛世金越未来年金保险（分红型）,1854,2026-05-20,分红型；年金保险；交清增额；月领,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1854&versionNo=1854-1&attachmentType=1,平安在售接口中开始日期最新的年金分红候选。
10,PingAn平安,平安盛世金越养老年金保险（分红型）,1847H/1847,2026-04-08,分红型；年金保险；终身/至105；交清增额；月领,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1847H&versionNo=1847H-1&attachmentType=1,平安养老年金分红产品，至105周岁/长期领取特征明显。
11,PingAn平安,平安颐享天年养老年金保险（分红型）,1845,2026-03-07,分红型；年金保险；终身/至105；月领,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1845&versionNo=1845-2&attachmentType=1,平安养老年金分红产品，长期养老领取属性突出。
12,PingAn平安,平安颐享延年（2026）养老年金保险（分红型）,1841,2026-03-07,分红型；年金保险；交清增额；保证给付；月领,https://life.pingan.com/ilife-home/product/getPlanClausePdf?planCode=1841&versionNo=1841-2&attachmentType=1,平安2026养老年金分红产品，保证给付期特征适合罕见条款对比。
13,Allianz安联,安联安赢丰年年金保险（分红型）,,2026-03-01,分红型；年金保险；终身/至105,https://www.allianz.com.cn/allianz/5356b5efa4c7470185fb30c006aacbb9.pdf,安联在售年金分红产品，产品名与“丰年”目标语义接近。
14,Allianz安联,安联安享至尊2.0（金生版）养老年金保险（分红型）,,2026-03-01,分红型；年金保险；保证给付；月领,https://www.allianz.com.cn/allianz/4416b60cf9fe4c29a761bcc305f979e1.pdf,安联养老年金分红产品，2026-03-01上线。
15,Allianz安联,安联安享至尊2.0（典藏版）养老年金保险（分红型）,,2025-12-08,分红型；年金保险；月领,https://www.allianz.com.cn/allianz/1f222967eb854376a05b05da78aaa55d.pdf,安联养老年金分红产品，典藏版用于版本差异对比。
