序号,公司,产品,产品代码,材料类别,条款链接,选择理由
1,AIA友邦,友邦盛世经典众享版2026终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3167-1%E5%8F%8B%E9%82%A6%E7%9B%9B%E4%B8%96%E7%BB%8F%E5%85%B8%E4%BC%97%E4%BA%AB%E7%89%882026%E7%BB%88%E8%BA%AB%E5%AF%BF%E9%99%A9%EF%BC%88%E5%88%86%E7%BA%A2%E5%9E%8B%EF%BC%89%E7%9A%84%E6%9D%A1%E6%AC%BE.pdf,友邦2026/2025序列分红型终身寿险，适合比较增额红利、终了红利和寿险杠杆。
2,AIA友邦,友邦传世经典2026终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3153-1_Banc%20PWL%202026A(20251205)_IAC9100030679_con.pdf,友邦2026/2025序列分红型终身寿险，适合比较增额红利、终了红利和寿险杠杆。
3,AIA友邦,友邦传世经典2026尊享版终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3154-1_Banc%20PWL%202026B(20251205)_IAC9100030680_con.pdf,友邦2026/2025序列分红型终身寿险，适合比较增额红利、终了红利和寿险杠杆。
4,AIA友邦,友邦悦享恒裕2026终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3150-1_Broker%20PWL%202026A(20251125)_IAC9100030486_con.pdf,友邦2026/2025序列分红型终身寿险，适合比较增额红利、终了红利和寿险杠杆。
5,AIA友邦,友邦悦享传世2026终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.aia.com.cn/content/dam/cn/zh-cn/docs/public-disclosure/B3151-1_Broker%20PWL%202026B(20251125)_IAC9100030487_con.pdf,友邦2026/2025序列分红型终身寿险，适合比较增额红利、终了红利和寿险杠杆。
6,Cigna信诺,招商信诺传家典御（尊享版）终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.cignacmb.com/sc/doc/tiaokuan/chuanjiadianyuzunxiangbanzhongshenshouxianfenhongxing.pdf,招商信诺在售分红型终身寿险，公开材料覆盖条款、说明书、费率和现金价值。
7,Cigna信诺,招商信诺信享传耀尊贵版终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.cignacmb.com/sc/doc/tiaokuan/xinxiangchuanyaozunguibanzhongshenshouxian.pdf,招商信诺在售分红型终身寿险，公开材料覆盖条款、说明书、费率和现金价值。
8,Cigna信诺,招商信诺瑞享鑫生臻享版终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.cignacmb.com/sc/doc/tiaokuan/ruixiangxinshengzhenxiangbanzhongshenshouxian.pdf,招商信诺在售分红型终身寿险，公开材料覆盖条款、说明书、费率和现金价值。
9,Cigna信诺,招商信诺和瑞长盈终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.cignacmb.com/sc/doc/tiaokuan/heruichangyingzhongshenshouxianfenhongxing.pdf,招商信诺在售分红型终身寿险，公开材料覆盖条款、说明书、费率和现金价值。
10,Cigna信诺,招商信诺信享传世尊享版终身寿险（分红型）,,产品说明书；条款；现金价值；费率表,https://www.cignacmb.com/sc/doc/tiaokuan/xinxiangchuanshizunxiangbanzhongshenshouxian.pdf,招商信诺在售分红型终身寿险，公开材料覆盖条款、说明书、费率和现金价值。
